title,code,linkCode,level
市辖区,370901000000,,3
泰山区,370902000000,09/370902.html,3
岱岳区,370911000000,09/370911.html,3
宁阳县,370921000000,09/370921.html,3
东平县,370923000000,09/370923.html,3
新泰市,370982000000,09/370982.html,3
肥城市,370983000000,09/370983.html,3
岱庙街道,370902001000,02/370902001.html,4
财源街道,370902002000,02/370902002.html,4
泰前街道,370902003000,02/370902003.html,4
上高街道,370902004000,02/370902004.html,4
徐家楼街道,370902005000,02/370902005.html,4
省庄镇,370902100000,02/370902100.html,4
邱家店镇,370902101000,02/370902101.html,4
大津口乡,370902202000,02/370902202.html,4
东湖社区居委会,370902001001,,5
市场街社区居委会,370902001002,,5
洼子街社区居委会,370902001003,,5
元宝街社区居委会,370902001004,,5
北新街社区居委会,370902001005,,5
北关街社区居委会,370902001006,,5
岱西街社区居委会,370902001007,,5
岱东街社区居委会,370902001008,,5
通天街社区居委会,370902001009,,5
升平街社区居委会,370902001010,,5
迎暄社区居委会,370902001011,,5
花园社区居委会,370902001012,,5
三友社区居委会,370902001015,,5
五马社区居委会,370902001016,,5
南关社区居委会,370902001017,,5
金星社区居委会,370902001018,,5
灌庄社区居委会,370902001019,,5
迎春社区,370902001020,,5
丽景社区居委会,370902001021,,5
东关村委会,370902001201,,5
三里社区居委会,370902002001,,5
灵山社区居委会,370902002002,,5
更新社区居委会,370902002003,,5
青山新村社区居委会,370902002004,,5
财源新村社区居委会,370902002005,,5
七东社区居委会,370902002006,,5
七西社区居委会,370902002007,,5
后七社区居委会,370902002008,,5
中七社区居委会,370902002009,,5
旧镇社区居委会,370902002010,,5
铁路新村社区居委会,370902002011,,5
财西社区居委会,370902002012,,5
青山街社区居委会,370902002013,,5
车站街社区居委会,370902002014,,5
财东社区居委会,370902002015,,5
财源社区居委会,370902002016,,5
教场街社区居委会,370902002017,,5
清真寺社区居委会,370902002018,,5
东更道社区居委会,370902002019,,5
西更道社区居委会,370902002020,,5
南湖小区社区居委会,370902002021,,5
松园小区社区居委会,370902002022,,5
乐园小区社区居委会,370902002023,,5
英雄山社区居委会,370902002024,,5
三联社区居委会,370902002025,,5
大桥社区居委会,370902002026,,5
科山社区居委会,370902002027,,5
王庄社区居委会,370902002028,,5
望岳社区居委会,370902002029,,5
泰前社区居委会,370902003001,,5
迎胜社区居委会,370902003002,,5
三合社区居委会,370902003003,,5
王家庄社区居委会,370902003004,,5
岱道庵社区居委会,370902003005,,5
御碑楼社区居委会,370902003006,,5
傲来峰社区居委会,370902003007,,5
广生泉社区居委会,370902003008,,5
科大社区居委会,370902003009,,5
农大社区居委会,370902003010,,5
金山社区居委会,370902003011,,5
向阳社区居委会,370902003012,,5
擂鼓石社区居委会,370902003013,,5
嘉德社区居委会,370902003014,,5
圣华社区居委会,370902003015,,5
国华社区居委会,370902003016,,5
艾洼村委会,370902003201,,5
上梨园村委会,370902003202,,5
下梨园村委会,370902003203,,5
上峪村委会,370902003204,,5
下峪村委会,370902003205,,5
黄山头村委会,370902003206,,5
水牛埠村委会,370902003207,,5
安家林村委会,370902003208,,5
东城村委会,370902003209,,5
西城村委会,370902003210,,5
杏园村委会,370902003211,,5
白马石村委会,370902003212,,5
利民小区社区居委会,370902004001,,5
东岳小区社区居委会,370902004002,,5
华新社区居委会,370902004003,,5
双龙社区居委会,370902004004,,5
凤凰社区居委会,370902004005,,5
南上高村委会,370902004201,,5
訾家灌庄村委会,370902004202,,5
黄家庄村委会,370902004203,,5
郭家灌庄村委会,370902004204,,5
西张庄村委会,370902004205,,5
上高镇村委会,370902004206,,5
大沟头村委会,370902004207,,5
北沟头村委会,370902004208,,5
韩家结庄村委会,370902004209,,5
岔河村委会,370902004210,,5
范家灌庄村委会,370902004211,,5
魏家庄村委会,370902004212,,5
中上高村委会,370902004213,,5
